"Source_Plate","Location","Sample.NTC.Control","Treatment","Resident_Rhizobial_Level","Reaction.Mix","Year","Universal","G22","G24","G22_First_Correction","Universal_First_Correction","G24_First_Correction","dilution_number","dilution_factor","G22_Second_Correction","Universal_Second_Correction","G24_Second_Correction"
"Plate_1_04Mar2026","Carrington","AvCH_603 2025 -4 Uninoc","Uninoc","High","U_G22",2025,45.28,0,NA,0,362.24,NA,4,10000,0,3622400,NA
"Plate_1_04Mar2026","Carrington","AvCH_605 2025 -4 Ino","G24","High","U_G22",2025,49.21,0,NA,0,393.68,NA,4,10000,0,3936800,NA
"Plate_1_04Mar2026","Carrington","PGCH_101 2025 -4 Uninoc","Uninoc","High","U_G22",2025,65.82,0,NA,0,526.56,NA,4,10000,0,5265600,NA
"Plate_1_04Mar2026","Carrington","PGCH_103 2025 -4 Ino","G24","High","U_G22",2025,70.79,0,NA,0,566.32,NA,4,10000,0,5663200,NA
"Plate_1_04Mar2026","Carrington","PGCH_401 2025 -4 Uninoc","Uninoc","High","U_G22",2025,71.14,0,NA,0,569.12,NA,4,10000,0,5691200,NA
"Plate_1_04Mar2026","Carrington","PGCH_404 2025 -4 G22","G22","High","U_G22",2025,60.4,0,NA,0,483.2,NA,4,10000,0,4832000,NA
"Plate_1_04Mar2026","Carrington","PGCH_502 2025 -4 Uninoc","Uninoc","High","U_G22",2025,0.776,0,NA,0,6.208,NA,4,10000,0,62080,NA
"Plate_1_04Mar2026","Carrington","PGCH_503 2025 -4 Ino","G24","High","U_G22",2025,78.92,0,NA,0,631.36,NA,4,10000,0,6313600,NA
"Plate_1_04Mar2026","Carrington","PGCH_504 2025 1.5-4 G22","G22","High","U_G22",2025,122.2,0,NA,0,977.6,NA,4,10000,0,9776000,NA
"Plate_1_04Mar2026","Carrington","NDCH_104 2025 -4 G22","G22","High","U_G22",2025,46.87,0,NA,0,374.96,NA,4,10000,0,3749600,NA
"Plate_1_04Mar2026","Carrington","NDCH_303 2025 -4 Ino","G24","High","U_G22",2025,92.85,0,NA,0,742.8,NA,4,10000,0,7428000,NA
"Plate_1_04Mar2026","Carrington","NDCH_503 2025 -4 Ino","G24","High","U_G22",2025,67.84,0,NA,0,542.72,NA,4,10000,0,5427200,NA
"Plate_1_04Mar2026","Carrington","NDCH_504 2025 -4 G22","G22","High","U_G22",2025,52.81,0,NA,0,422.48,NA,4,10000,0,4224800,NA
"Plate_1_04Mar2026","Carrington","NDCH_101 2025 -3 Uninoc","Uninoc","High","U_G22",2025,372,0,NA,0,2976,NA,3,1000,0,2976000,NA
"Plate_1_04Mar2026","Carrington","PGCL_206 2025 -3 Ino","G24","Low","U_G22",2025,728.9,14.93,NA,119.44,5831.2,NA,3,1000,119440,5831200,NA
"Plate_1_04Mar2026","Carrington","AvCH_204 2025 -3 G22","G22","High","U_G22",2025,153.4,0,NA,0,1227.2,NA,3,1000,0,1227200,NA
"Plate_1_04Mar2026","Minot","NDMH_301 2025 -3 G22","G22","High","U_G22",2025,519.7,0,NA,0,4157.6,NA,3,1000,0,4157600,NA
"Plate_1_04Mar2026","Minot","NDML_103 2025 -3 G22","G22","Low","U_G22",2025,5.202,0,NA,0,41.616,NA,3,1000,0,41616,NA
"Plate_1_04Mar2026","Minot","PGML_406 2025 -4 G22","G22","Low","U_G22",2025,42.11,0,NA,0,336.88,NA,4,10000,0,3368800,NA
"Plate_1_04Mar2026","Minot","AvML_604 2025 -4 G22","G22","Low","U_G22",2025,56.06,0,NA,0,448.48,NA,4,10000,0,4484800,NA
"Plate_1_04Mar2026","Minot","PGML_505 2025 -4 G22","G22","Low","U_G22",2025,0,0,NA,0,0,NA,4,10000,0,0,NA
"Plate_1_04Mar2026","Minot","PGML_103 2025 -4 G22","G22","Low","U_G22",2025,56.83,0,NA,0,454.64,NA,4,10000,0,4546400,NA
"Plate_1_04Mar2026","Minot","AvML_406 2025 -2 G22","G22","Low","U_G22",2025,5526.4,0.39,NA,3.12,44211.2,NA,2,100,312,4421120,NA
"Plate_1_04Mar2026","Minot","AvML_301 2025 -3 G22","G22","Low","U_G22",2025,2128.9,0,NA,0,17031.2,NA,3,1000,0,17031200,NA
"Plate_1_04Mar2026","Minot","AvML_505 2025 -4 G22","G22","Low","U_G22",2025,66.77,0,NA,0,534.16,NA,4,10000,0,5341600,NA
"Plate_1_04Mar2026","Carrington","AvCL_406 2025 -4 Ino","G24","Low","U_G22",2025,11.36,0.391,NA,3.128,90.88,NA,4,10000,31280,908800,NA
"Plate_1_04Mar2026","Carrington","PGCL_103 2025 -4 Ino","G24","Low","U_G22",2025,106.7,10.11,NA,80.88,853.6,NA,4,10000,808800,8536000,NA
"Plate_1_04Mar2026","Minot","NDMH_202 2025 -3 G22","G22","High","U_G22",2025,294.6,0,NA,0,2356.8,NA,3,1000,0,2356800,NA
"Plate_1_04Mar2026","Minot","PGMH_301 2025 -3 G22","G22","High","U_G22",2025,187.9,0,NA,0,1503.2,NA,3,1000,0,1503200,NA
"Plate_1_04Mar2026","Minot","NDMH_103 2025 -3 G22","G22","High","U_G22",2025,536.3,0,NA,0,4290.4,NA,3,1000,0,4290400,NA
"Plate_1_04Mar2026","Minot","AvMH_103 2025 -4 G22","G22","High","U_G22",2025,26.92,30.56,NA,244.48,215.36,NA,4,10000,2444800,2153600,NA
"Plate_1_04Mar2026","Minot","NDMH_301 2025 -4 G22","G22","High","U_G22",2025,20.31,0,NA,0,162.48,NA,4,10000,0,1624800,NA
"Plate_1_04Mar2026","Minot","AvMH_505 2025 -3 G22","G22","High","U_G22",2025,180.8,7.011,NA,56.088,1446.4,NA,3,1000,56088,1446400,NA
"Plate_1_04Mar2026","Minot","AvMH_202 2025 -4 G22","G22","High","U_G22",2025,45.33,0,NA,0,362.64,NA,4,10000,0,3626400,NA
"Plate_1_04Mar2026","Minot","AvMH_604 2025 -4 G22","G22","High","U_G22",2025,31.15,7.032,NA,56.256,249.2,NA,4,10000,562560,2492000,NA
"Plate_1_04Mar2026","Carrington","NDCL_406 2025 -3 Ino","G24","Low","U_G22",2025,877,0,NA,0,7016,NA,3,1000,0,7016000,NA
"Plate_1_04Mar2026","Minot","NDML_604 2025 -4 G22","G22","Low","U_G22",2025,66.1,0,NA,0,528.8,NA,4,10000,0,5288000,NA
"Plate_1_04Mar2026","Minot","NDMH_406 2025 -4 G22","G22","High","U_G22",2025,82.84,0,NA,0,662.72,NA,4,10000,0,6627200,NA
"Plate_1_04Mar2026","Minot","AvMH_406 2025 -4 G22","G22","High","U_G22",2025,35.61,0,NA,0,284.88,NA,4,10000,0,2848800,NA
"Plate_1_04Mar2026","Minot","PGML_604 2025 -4 G22","G22","Low","U_G22",2025,61.9,0,NA,0,495.2,NA,4,10000,0,4952000,NA
"Plate_1_04Mar2026","Minot","AvMH_301 2025 -5 G22","G22","High","U_G22",2025,15.1,0,NA,0,120.8,NA,5,1e+05,0,12080000,NA
"Plate_1_04Mar2026","Carrington","NDCL_103 2025 -4 Ino","G24","Low","U_G22",2025,76.18,0,NA,0,609.44,NA,4,10000,0,6094400,NA
"Plate_1_04Mar2026","Carrington","AvCL_103 2025 -5 Ino","G24","Low","U_G22",2025,9.441,0,NA,0,75.528,NA,5,1e+05,0,7552800,NA
"Plate_1_04Mar2026","Minot","PGMH_202 2025 -3 G22","G22","High","U_G22",2025,242.6,0,NA,0,1940.8,NA,3,1000,0,1940800,NA
"Plate_1_04Mar2026","Minot","NDMH_505 2025 -4 G22","G22","High","U_G22",2025,34.79,0,NA,0,278.32,NA,4,10000,0,2783200,NA
"Plate_1_04Mar2026","Minot","PGMH_505 2025 -3 G22","G22","High","U_G22",2025,499.4,0,NA,0,3995.2,NA,3,1000,0,3995200,NA
"Plate_1_04Mar2026","Carrington","AvCH_103 2025 -4 Ino","G24","High","U_G22",2025,7.052,0,NA,0,56.416,NA,4,10000,0,564160,NA
"Plate_1_04Mar2026","Minot","PGMH_604 2025 -4 G22","G22","High","U_G22",2025,168.7,0,NA,0,1349.6,NA,4,10000,0,13496000,NA
"Plate_1_04Mar2026","Minot","AvML_103 2025 -4 G22","G22","Low","U_G22",2025,4.782,0.368,NA,2.944,38.256,NA,4,10000,29440,382560,NA
"Plate_1_04Mar2026","Minot","AvML_202 2025 -4 G22","G22","Low","U_G22",2025,0,0,NA,0,0,NA,4,10000,0,0,NA
"Plate_1_04Mar2026","Carrington","AvCL_603 2025 -4 Uninoc","Uninoc","Low","U_G22",2025,40.49,0.774,NA,6.192,323.92,NA,4,10000,61920,3239200,NA
"Plate_1_04Mar2026","Carrington","AvCL_504 2025 -4 G22","G22","Low","U_G22",2025,32.22,6.736,NA,53.888,257.76,NA,4,10000,538880,2577600,NA
"Plate_1_04Mar2026","Carrington","PGCL_603 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,621.6,0,NA,0,4972.8,NA,3,1000,0,4972800,NA
"Plate_1_04Mar2026","Carrington","PGCL_504 2025 -4 G22","G22","Low","U_G22",2025,177.7,0,NA,0,1421.6,NA,4,10000,0,14216000,NA
"Plate_1_04Mar2026","Carrington","PGCL_306 2025 -3 G22","G22","Low","U_G22",2025,1873.8,0.817,NA,6.536,14990.4,NA,3,1000,6536,14990400,NA
"Plate_1_04Mar2026","Minot","NDMH_306 2025 -3 Ino","G24","High","U_G22",2025,382.9,0,NA,0,3063.2,NA,3,1000,0,3063200,NA
"Plate_1_04Mar2026","Minot","AvMH_102 2025 -4 Ino","G24","High","U_G22",2025,55.58,0,NA,0,444.64,NA,4,10000,0,4446400,NA
"Plate_1_04Mar2026","Minot","PGMH_405 2025 -4 Ino","G24","High","U_G22",2025,210,0,NA,0,1680,NA,4,10000,0,16800000,NA
"Plate_1_04Mar2026","Minot","PGMH_306 2025 -3 Ino","G24","High","U_G22",2025,1143,0.391,NA,3.128,9144,NA,3,1000,3128,9144000,NA
"Plate_1_04Mar2026","Minot","PGMH_201 2025 -4 Ino","G24","High","U_G22",2025,45.33,0,NA,0,362.64,NA,4,10000,0,3626400,NA
"Plate_1_04Mar2026","Minot","AvMH_504 2025 -4 Ino","G24","High","U_G22",2025,13.69,21.86,NA,174.88,109.52,NA,4,10000,1748800,1095200,NA
"Plate_1_04Mar2026","Minot","NDMH_102 2025 -3 Ino","G24","High","U_G22",2025,904.1,0,NA,0,7232.8,NA,3,1000,0,7232800,NA
"Plate_1_04Mar2026","Minot","AvMH_201 2025 -4 Ino","G24","High","U_G22",2025,29.34,0,NA,0,234.72,NA,4,10000,0,2347200,NA
"Plate_1_04Mar2026","Minot","PGML_405 2025 -3 Ino","G24","Low","U_G22",2025,332.7,0,NA,0,2661.6,NA,3,1000,0,2661600,NA
"Plate_1_04Mar2026","Carrington","NDCL_603 2025 -4 Uninoc","Uninoc","Low","U_G22",2025,101.6,0,NA,0,812.8,NA,4,10000,0,8128000,NA
"Plate_1_04Mar2026","Minot","NDML_405 2025 -3 Ino","G24","Low","U_G22",2025,693.3,0,NA,0,5546.4,NA,3,1000,0,5546400,NA
"Plate_1_04Mar2026","Minot","NDML_504 2025 -4 Ino","G24","Low","U_G22",2025,58.62,16.75,NA,134,468.96,NA,4,10000,1340000,4689600,NA
"Plate_1_04Mar2026","Minot","NDML_603 2025 -3 Ino","G24","Low","U_G22",2025,675.4,0,NA,0,5403.2,NA,3,1000,0,5403200,NA
"Plate_1_04Mar2026","Carrington","NDCH_603 2025 -4 Uninoc","Uninoc","High","U_G22",2025,88.07,0,NA,0,704.56,NA,4,10000,0,7045600,NA
"Plate_1_04Mar2026","Minot","AvMH_405 2025 -4 Ino","G24","High","U_G22",2025,78.27,0,NA,0,626.16,NA,4,10000,0,6261600,NA
"Plate_1_04Mar2026","Minot","AvMH_603 2025 -4 Ino","G24","High","U_G22",2025,60.23,32.19,NA,257.52,481.84,NA,4,10000,2575200,4818400,NA
"Plate_1_04Mar2026","Minot","AvMH_306 2025 -4 Ino","G24","High","U_G22",2025,108.2,0,NA,0,865.6,NA,4,10000,0,8656000,NA
"Plate_1_04Mar2026","Minot","PGML_603 2025 -3 Ino","G24","Low","U_G22",2025,457.2,0,NA,0,3657.6,NA,3,1000,0,3657600,NA
"Plate_1_04Mar2026","Minot","NDMH_603 2025 -3 Ino","G24","High","U_G22",2025,735.9,0,NA,0,5887.2,NA,3,1000,0,5887200,NA
"Plate_1_04Mar2026","Minot","NDMH_405 2025 -4 Ino","G24","High","U_G22",2025,48.03,0,NA,0,384.24,NA,4,10000,0,3842400,NA
"Plate_1_04Mar2026","Carrington","AvCL_306 2025 -4 G22","G22","Low","U_G22",2025,21.44,0,NA,0,171.52,NA,4,10000,0,1715200,NA
"Plate_1_04Mar2026","Carrington","NDCL_306 2025 -4 G22","G22","Low","U_G22",2025,238.3,0,NA,0,1906.4,NA,4,10000,0,19064000,NA
"Plate_1_04Mar2026","Minot","PGML_102 2025 -2 Ino","G24","Low","U_G22",2025,9241.6,0,NA,0,73932.8,NA,2,100,0,7393280,NA
"Plate_1_04Mar2026","Minot","PGMH_102 2025 -3 Ino","G24","High","U_G22",2025,2015.9,0,NA,0,16127.2,NA,3,1000,0,16127200,NA
"Plate_1_04Mar2026","Carrington","NDCL_504 2025 -4 G22","G22","Low","U_G22",2025,213,0,NA,0,1704,NA,4,10000,0,17040000,NA
"Plate_1_04Mar2026","Minot","NDML_306 2025 -4 Ino","G24","Low","U_G22",2025,259.8,0,NA,0,2078.4,NA,4,10000,0,20784000,NA
"Plate_1_04Mar2026","Minot","NDMH_201 2025 -4 Ino","G24","High","U_G22",2025,132.8,0,NA,0,1062.4,NA,4,10000,0,10624000,NA
"Plate_1_04Mar2026",NA,"3841_G22","G22",NA,"U_G22",2025,12.47,12.09,NA,96.72,99.76,NA,NA,NA,NA,NA,NA
"Plate_2_06Mar2026","Minot","AvML_504 2025 -3 Ino","G24","Low","U_G22",2025,4342.3,0,NA,0,34738.4,NA,3,1000,0,34738400,NA
"Plate_2_06Mar2026","Minot","AvML_603 2025 -3 Ino","G24","Low","U_G22",2025,4161.3,0.728,NA,5.824,33290.4,NA,3,1000,5824,33290400,NA
"Plate_2_06Mar2026","Minot","AvML_306 2025 -3 Ino","G24","Low","U_G22",2025,4572.9,0,NA,0,36583.2,NA,3,1000,0,36583200,NA
"Plate_2_06Mar2026","Minot","NDML_102 2025 -3 Ino","G24","Low","U_G22",2025,2104.5,0,NA,0,16836,NA,3,1000,0,16836000,NA
"Plate_2_06Mar2026","Minot","AvML_405 2025 -3 Ino","G24","Low","U_G22",2025,8049.3,0,NA,0,64394.4,NA,3,1000,0,64394400,NA
"Plate_2_06Mar2026","Minot","PGML_201 2025 -3 Ino","G24","Low","U_G22",2025,2159.3,0,NA,0,17274.4,NA,3,1000,0,17274400,NA
"Plate_2_06Mar2026","Minot","PGML_306 2025 -3 Ino","G24","Low","U_G22",2025,1799.9,0,NA,0,14399.2,NA,3,1000,0,14399200,NA
"Plate_2_06Mar2026","Minot","PGML_504 2025 -3 Ino","G24","Low","U_G22",2025,764.4,0,NA,0,6115.2,NA,3,1000,0,6115200,NA
"Plate_2_06Mar2026","Minot","NDMH_504 2025 -3 Ino","G24","High","U_G22",2025,1961.3,8.958,NA,71.664,15690.4,NA,3,1000,71664,15690400,NA
"Plate_2_06Mar2026","Minot","AvML_102 2025 -3 Ino","G24","Low","U_G22",2025,1094.8,0,NA,0,8758.4,NA,3,1000,0,8758400,NA
"Plate_2_06Mar2026","Minot","AvML_201 2025 -3 Ino","G24","Low","U_G22",2025,836.4,0,NA,0,6691.2,NA,3,1000,0,6691200,NA
"Plate_2_06Mar2026","Minot","PGMH_603 2025 -3 Ino","G24","High","U_G22",2025,2047.5,10.27,NA,82.16,16380,NA,3,1000,82160,16380000,NA
"Plate_2_06Mar2026","Minot","PGMH_504 2025 -3 Ino","G24","High","U_G22",2025,1940,0,NA,0,15520,NA,3,1000,0,15520000,NA
"Plate_2_06Mar2026","Carrington","PGCH_603 2025 -3 Ino","G24","High","U_G22",2025,2772.6,0,NA,0,22180.8,NA,3,1000,0,22180800,NA
"Plate_2_06Mar2026","Carrington","PGCH_303 2025 -3 Uninoc","Uninoc","High","U_G22",2025,1018.8,0,NA,0,8150.4,NA,3,1000,0,8150400,NA
"Plate_2_06Mar2026","Carrington","NDCH_103 2025 -3 Ino","G24","High","U_G22",2025,2362.7,0,NA,0,18901.6,NA,3,1000,0,18901600,NA
"Plate_2_06Mar2026","Carrington","NDCH_206 2025 -3 Ino","G24","High","U_G22",2025,1272.4,0,NA,0,10179.2,NA,3,1000,0,10179200,NA
"Plate_2_06Mar2026","Carrington","NDCH_406 2025 -3 Ino","G24","High","U_G22",2025,859.9,0,NA,0,6879.2,NA,3,1000,0,6879200,NA
"Plate_2_06Mar2026","Carrington","PGCH_206 2025 -3 Ino","G24","High","U_G22",2025,1174.5,8.188,NA,65.504,9396,NA,3,1000,65504,9396000,NA
"Plate_2_06Mar2026","Minot","NDML_301 2025 -1 G22","G22","Low","U_G22",2025,4255.7,0,NA,0,34045.6,NA,1,10,0,340456,NA
"Plate_2_06Mar2026","Minot","NDML_505 2025 -1 G22","G22","Low","U_G22",2025,852.8,0,NA,0,6822.4,NA,1,10,0,68224,NA
"Plate_2_06Mar2026","Minot","NDML_406 2025 -1 G22","G22","Low","U_G22",2025,1241.2,0,NA,0,9929.6,NA,1,10,0,99296,NA
"Plate_2_06Mar2026","Minot","PGML_202 2025 -3 G22","G22","Low","U_G22",2025,1692.4,0,NA,0,13539.2,NA,3,1000,0,13539200,NA
"Plate_2_06Mar2026","Carrington","PGCL_406 2025 -3 Ino","G24","Low","U_G22",2025,2250.5,0,NA,0,18004,NA,3,1000,0,18004000,NA
"Plate_2_06Mar2026","Minot","PGMH_406 2025 -2 G22","G22","High","U_G22",2025,14776.2,0,NA,0,118209.6,NA,2,100,0,11820960,NA
"Plate_2_06Mar2026","Minot","PGMH_103 2025 -2 G22","G22","High","U_G22",2025,6555.4,0.385,NA,3.08,52443.2,NA,2,100,308,5244320,NA
"Plate_2_06Mar2026","Minot","NDMH_604 2025 -1 G22","G22","High","U_G22",2025,267.6,0,NA,0,2140.8,NA,1,10,0,21408,NA
"Plate_2_06Mar2026","Carrington","PGCH_306 2025 -3 G22","G22","High","U_G22",2025,1480.5,0.391,NA,3.128,11844,NA,3,1000,3128,11844000,NA
"Plate_2_06Mar2026","Carrington","PGCH_104 2025 -3 G22","G22","High","U_G22",2025,1273.3,0,NA,0,10186.4,NA,3,1000,0,10186400,NA
"Plate_2_06Mar2026","Carrington","NDCH_306 2025 -3 G22","G22","High","U_G22",2025,871.9,0,NA,0,6975.2,NA,3,1000,0,6975200,NA
"Plate_2_06Mar2026","Carrington","NDCH_404 2025 -3 G22","G22","High","U_G22",2025,856,0,NA,0,6848,NA,3,1000,0,6848000,NA
"Plate_2_06Mar2026","Carrington","NDCH_305 2025 -3 Uninoc","Uninoc","High","U_G22",2025,839.6,0,NA,0,6716.8,NA,3,1000,0,6716800,NA
"Plate_2_06Mar2026","Carrington","PGCL_303 2025 -1 Ino","G24","Low","U_G22",2025,NA,2520,NA,20160,NA,NA,1,10,201600,NA,NA
"Plate_2_06Mar2026","Carrington","PGCH_305 2025 -3 Uninoc","Uninoc","High","U_G22",2025,19066.7,2.313,NA,18.504,152533.6,NA,3,1000,18504,152533600,NA
"Plate_2_06Mar2026","Carrington","AvCL_502 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,247.3,0,NA,0,1978.4,NA,3,1000,0,1978400,NA
"Plate_2_06Mar2026","Carrington","AvCL_601 2025 -3 G22","G22","Low","U_G22",2025,957.7,0,NA,0,7661.6,NA,3,1000,0,7661600,NA
"Plate_2_06Mar2026","Carrington","PGCL_601 2025 -3 G22","G22","Low","U_G22",2025,1480.3,0,NA,0,11842.4,NA,3,1000,0,11842400,NA
"Plate_2_06Mar2026","Carrington","AvCL_605 2025 -3 Ino","G24","Low","U_G22",2025,340.6,321.8,NA,2574.4,2724.8,NA,3,1000,2574400,2724800,NA
"Plate_2_06Mar2026","Carrington","PGCH_204 2025 -3 G22","G22","High","U_G22",2025,1514.6,0.784,NA,6.272,12116.8,NA,3,1000,6272,12116800,NA
"Plate_2_06Mar2026","Carrington","PGCH_605 2025 -3 Ino","G24","High","U_G22",2025,2351.7,0,NA,0,18813.6,NA,3,1000,0,18813600,NA
"Plate_2_06Mar2026","Carrington","PGCL_104 2025 -3 G22","G22","Low","U_G22",2025,5047.4,1618.4,NA,12947.2,40379.2,NA,3,1000,12947200,40379200,NA
"Plate_2_06Mar2026","Carrington","NDCL_104 2025 -3 G22","G22","Low","U_G22",2025,1609.8,23.47,NA,187.76,12878.4,NA,3,1000,187760,12878400,NA
"Plate_2_06Mar2026","Carrington","NDCL_401 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,1224.3,0,NA,0,9794.4,NA,3,1000,0,9794400,NA
"Plate_2_06Mar2026","Carrington","NDCL_204 2025 -3 G22","G22","Low","U_G22",2025,4026.8,0,NA,0,32214.4,NA,3,1000,0,32214400,NA
"Plate_2_06Mar2026","Carrington","AvCL_401 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,392.9,34.5,NA,276,3143.2,NA,3,1000,276000,3143200,NA
"Plate_2_06Mar2026","Carrington","AvCH_104 2025 -3 G22","G22","High","U_G22",2025,475.8,34.05,NA,272.4,3806.4,NA,3,1000,272400,3806400,NA
"Plate_2_06Mar2026","Carrington","NDCL_605 2025 -3 Ino","G24","Low","U_G22",2025,3887.8,0,NA,0,31102.4,NA,3,1000,0,31102400,NA
"Plate_2_06Mar2026","Carrington","NDCL_601 2025 -3 G22","G22","Low","U_G22",2025,2791.3,0,NA,0,22330.4,NA,3,1000,0,22330400,NA
"Plate_2_06Mar2026","Carrington","NDCH_605 2025 -3 Ino","G24","High","U_G22",2025,3011.1,0,NA,0,24088.8,NA,3,1000,0,24088800,NA
"Plate_2_06Mar2026","Carrington","AvCL_104 2025 -3 G22","G22","Low","U_G22",2025,6341.4,0,NA,0,50731.2,NA,3,1000,0,50731200,NA
"Plate_2_06Mar2026","Carrington","AvCL_204 2025 -3 G22","G22","Low","U_G22",2025,378.9,0.781,NA,6.248,3031.2,NA,3,1000,6248,3031200,NA
"Plate_2_06Mar2026","Carrington","AvCL_205 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,34.66,0,NA,0,277.28,NA,3,1000,0,277280,NA
"Plate_2_06Mar2026","Carrington","PGCH_601 2025 -3 G22","G22","High","U_G22",2025,1705,0,NA,0,13640,NA,3,1000,0,13640000,NA
"Plate_2_06Mar2026","Carrington","PGCH_406 2025 -3 Ino","G24","High","U_G22",2025,1956.1,0.407,NA,3.256,15648.8,NA,3,1000,3256,15648800,NA
"Plate_2_06Mar2026","Carrington","PGCH_306_2 2025 -3 G22","G22","High","U_G22",2025,1090.3,0,NA,0,8722.4,NA,3,1000,0,8722400,NA
"Plate_2_06Mar2026","Minot","PGML_301 2025 -2 G22","G22","Low","U_G22",2025,13712.4,0,NA,0,109699.2,NA,2,100,0,10969920,NA
"Plate_2_06Mar2026","Minot","PGML_202_2 2025 -3 G22","G22","Low","U_G22",2025,2285.1,0,NA,0,18280.8,NA,3,1000,0,18280800,NA
"Plate_2_06Mar2026","Carrington","PGCL_406_2 2025 -3 Ino","G24","Low","U_G22",2025,2824.8,0,NA,0,22598.4,NA,3,1000,0,22598400,NA
"Plate_2_06Mar2026","Minot","PGMH_406_2 2025 -2 G22","G22","High","U_G22",2025,10388.3,0,NA,0,83106.4,NA,2,100,0,8310640,NA
"Plate_2_06Mar2026","Minot","PGMH_103 2025 -3 G22","G22","High","U_G22",2025,1209.8,0,NA,0,9678.4,NA,3,1000,0,9678400,NA
"Plate_2_06Mar2026","Minot","NDMH_503 2025 -2 Uninoc","Uninoc","High","U_G22",2025,3638.3,0,NA,0,29106.4,NA,2,100,0,2910640,NA
"Plate_2_06Mar2026","Minot","AvML_602 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,149,0,NA,0,1192,NA,3,1000,0,1192000,NA
"Plate_2_06Mar2026","Carrington","AvCL_404 2025 -3 G22","G22","Low","U_G22",2025,1531.6,0,NA,0,12252.8,NA,3,1000,0,12252800,NA
"Plate_2_06Mar2026","Carrington","AvCL_305 2025 -3 Uninoc","Uninoc","Low","U_G22",2025,1225,0,NA,0,9800,NA,3,1000,0,9800000,NA
"Plate_2_06Mar2026","Carrington","AvCL_503 2025 -3 Ino","G24","Low","U_G22",2025,296.7,8.938,NA,71.504,2373.6,NA,3,1000,71504,2373600,NA
"Plate_2_06Mar2026","Minot","AvMH_101 2025 -3 Uninoc","Uninoc","High","U_G22",2025,1129.7,0.411,NA,3.288,9037.6,NA,3,1000,3288,9037600,NA
"Plate_2_06Mar2026","Minot","AvMH_206 2025 -3 Uninoc","Uninoc","High","U_G22",2025,730,1.591,NA,12.728,5840,NA,3,1000,12728,5840000,NA
"Plate_2_06Mar2026","Minot","AvMH_305 2025 -3 Uninoc","Uninoc","High","U_G22",2025,1092,0,NA,0,8736,NA,3,1000,0,8736000,NA
"Plate_2_06Mar2026","Minot","AvMH_404 2025 -3 Uninoc","Uninoc","High","U_G22",2025,2972.5,0,NA,0,23780,NA,3,1000,0,23780000,NA
"Plate_2_06Mar2026","Minot","AvMH_503 2025 -3 Uninoc","Uninoc","High","U_G22",2025,531.1,0,NA,0,4248.8,NA,3,1000,0,4248800,NA
